[17.60210396189989, 78.1266163506437]
[17.602112503240715, 78.12661930376954]
[17.602120885557586, 78.12662272182537]
[17.602129841189935, 78.12662358350026]
[17.602138796822288, 78.12662444517521]
[17.60214775245464, 78.1266253068502]
[17.60215670808699, 78.12662616852522]
[17.60216566371934, 78.1266270302003]
[17.602174619351697, 78.12662789187542]
[17.60218357498405, 78.12662875355056]
[17.6021925306164, 78.12662961522577]
[17.60220148624875, 78.126630476901]
[17.602219397513444, 78.12663220025166]
[17.602228353145794, 78.12663306192704]
[17.60223283096197, 78.12663349276473]
